collection_id_namespace	collection_local_id	taxon
https://www.lincsproject.org/	LDG-1397	NCBI:txid9606
https://www.lincsproject.org/	LDG-1107	NCBI:txid9606
https://www.lincsproject.org/	LDG-1399	NCBI:txid9606
https://www.lincsproject.org/	LDG-1187	NCBI:txid9606
https://www.lincsproject.org/	LDG-1251	NCBI:txid9606
https://www.lincsproject.org/	LDG-1042	NCBI:txid9606
https://www.lincsproject.org/	LDG-1104	NCBI:txid9606
https://www.lincsproject.org/	LDG-1096	NCBI:txid9606
https://www.lincsproject.org/	LDG-1148	NCBI:txid9606
https://www.lincsproject.org/	LDG-1160	NCBI:txid9606
https://www.lincsproject.org/	LDG-1125	NCBI:txid9606
https://www.lincsproject.org/	LDG-1069	NCBI:txid9606
https://www.lincsproject.org/	LDG-1032	NCBI:txid9606
https://www.lincsproject.org/	LDG-1033	NCBI:txid9606
https://www.lincsproject.org/	LDG-1128	NCBI:txid9606
https://www.lincsproject.org/	LDG-1398	NCBI:txid9606
https://www.lincsproject.org/	LDG-1169	NCBI:txid9606
https://www.lincsproject.org/	LDG-1010	NCBI:txid9606
https://www.lincsproject.org/	LDG-1074	NCBI:txid9606
https://www.lincsproject.org/	LDG-1118	NCBI:txid9606
https://www.lincsproject.org/	LDG-1136	NCBI:txid9606
https://www.lincsproject.org/	LDG-1134	NCBI:txid9606
https://www.lincsproject.org/	LDG-1022	NCBI:txid9606
https://www.lincsproject.org/	LDG-1027	NCBI:txid9606
https://www.lincsproject.org/	LDG-1112	NCBI:txid9606
https://www.lincsproject.org/	LDG-1012	NCBI:txid9606
https://www.lincsproject.org/	LDG-1395	NCBI:txid9606
https://www.lincsproject.org/	EDS-1015	NCBI:txid9606
https://www.lincsproject.org/	EDG-1016	NCBI:txid9606
https://www.lincsproject.org/	LDG-1215	NCBI:txid9606
https://www.lincsproject.org/	LDG-1079	NCBI:txid9606
https://www.lincsproject.org/	LDG-1209	NCBI:txid9606
https://www.lincsproject.org/	LDG-1040	NCBI:txid9606
https://www.lincsproject.org/	LDG-1127	NCBI:txid9606
https://www.lincsproject.org/	LDG-1380	NCBI:txid9606
https://www.lincsproject.org/	LDG-1153	NCBI:txid9606
https://www.lincsproject.org/	LDG-1150	NCBI:txid9606
https://www.lincsproject.org/	LDG-1129	NCBI:txid9606
https://www.lincsproject.org/	LDG-1124	NCBI:txid9606
https://www.lincsproject.org/	LDG-1149	NCBI:txid9606
https://www.lincsproject.org/	LDG-1095	NCBI:txid9606
https://www.lincsproject.org/	LDG-1158	NCBI:txid9606
https://www.lincsproject.org/	LDG-1019	NCBI:txid9606
https://www.lincsproject.org/	LDG-1385	NCBI:txid9606
https://www.lincsproject.org/	LDG-1110	NCBI:txid9606
https://www.lincsproject.org/	LDG-1021	NCBI:txid9606
https://www.lincsproject.org/	LDG-1290	NCBI:txid9606
https://www.lincsproject.org/	LDG-1211	NCBI:txid9606
https://www.lincsproject.org/	LDG-1120	NCBI:txid9606
https://www.lincsproject.org/	LDG-1443	NCBI:txid9606
https://www.lincsproject.org/	LDG-1252	NCBI:txid9606
https://www.lincsproject.org/	LDG-1253	NCBI:txid9606
https://www.lincsproject.org/	LDG-1254	NCBI:txid9606
https://www.lincsproject.org/	LDG-1415	NCBI:txid9606
https://www.lincsproject.org/	LDG-1416	NCBI:txid9606
https://www.lincsproject.org/	LDG-1421	NCBI:txid9606
https://www.lincsproject.org/	LDG-1422	NCBI:txid9606
https://www.lincsproject.org/	LDG-1445	NCBI:txid9606
https://www.lincsproject.org/	LDG-1404	NCBI:txid9606
https://www.lincsproject.org/	LDG-1405	NCBI:txid9606
https://www.lincsproject.org/	LDG-1430	NCBI:txid9606
https://www.lincsproject.org/	LDG-1431	NCBI:txid9606
https://www.lincsproject.org/	LDG-1413	NCBI:txid9606
https://www.lincsproject.org/	LDG-1119	NCBI:txid9606
https://www.lincsproject.org/	LDG-1289	NCBI:txid9606
https://www.lincsproject.org/	LDG-1167	NCBI:txid9606
https://www.lincsproject.org/	LDG-1097	NCBI:txid9606
https://www.lincsproject.org/	LDG-1210	NCBI:txid9606
https://www.lincsproject.org/	LDG-1037	NCBI:txid9606
https://www.lincsproject.org/	LDG-1181	NCBI:txid9606
https://www.lincsproject.org/	LDG-1379	NCBI:txid9606
https://www.lincsproject.org/	LDG-1088	NCBI:txid9606
https://www.lincsproject.org/	LDG-1101	NCBI:txid9606
https://www.lincsproject.org/	LDG-1142	NCBI:txid9606
https://www.lincsproject.org/	LDG-1131	NCBI:txid9606
https://www.lincsproject.org/	LDG-1166	NCBI:txid9606
https://www.lincsproject.org/	LDG-1013	NCBI:txid9606
https://www.lincsproject.org/	LDG-1014	NCBI:txid9606
https://www.lincsproject.org/	LDG-1065	NCBI:txid9606
https://www.lincsproject.org/	LDG-1192	NCBI:txid9606
https://www.lincsproject.org/	LDG-1122	NCBI:txid9606
https://www.lincsproject.org/	LDG-1123	NCBI:txid9606
https://www.lincsproject.org/	LDG-1121	NCBI:txid9606
https://www.lincsproject.org/	LDG-1382	NCBI:txid9606
https://www.lincsproject.org/	LDG-1178	NCBI:txid9606
https://www.lincsproject.org/	LDG-1186	NCBI:txid9606
https://www.lincsproject.org/	LDG-1114	NCBI:txid9606
https://www.lincsproject.org/	LDG-1174	NCBI:txid9606
https://www.lincsproject.org/	LDG-1111	NCBI:txid9606
https://www.lincsproject.org/	LDG-1196	NCBI:txid9606
https://www.lincsproject.org/	LDG-1409	NCBI:txid9606
https://www.lincsproject.org/	LDG-1331	NCBI:txid9606
https://www.lincsproject.org/	LDG-1332	NCBI:txid9606
https://www.lincsproject.org/	LDG-1333	NCBI:txid9606
https://www.lincsproject.org/	LDG-1400	NCBI:txid9606
https://www.lincsproject.org/	LDG-1390	NCBI:txid9606
https://www.lincsproject.org/	LDG-1138	NCBI:txid9606
https://www.lincsproject.org/	LDG-1438	NCBI:txid9606
https://www.lincsproject.org/	LDG-1439	NCBI:txid9606
https://www.lincsproject.org/	LDG-1440	NCBI:txid9606
https://www.lincsproject.org/	LDG-1441	NCBI:txid9606
https://www.lincsproject.org/	LDG-1171	NCBI:txid9606
https://www.lincsproject.org/	LDG-1322	NCBI:txid9606
https://www.lincsproject.org/	LDG-1323	NCBI:txid9606
https://www.lincsproject.org/	LDG-1324	NCBI:txid9606
https://www.lincsproject.org/	LDG-1392	NCBI:txid9606
https://www.lincsproject.org/	LDG-1284	NCBI:txid9606
https://www.lincsproject.org/	LDG-1283	NCBI:txid9606
https://www.lincsproject.org/	LDG-1159	NCBI:txid9606
https://www.lincsproject.org/	LDG-1043	NCBI:txid9606
https://www.lincsproject.org/	LDG-1130	NCBI:txid9606
https://www.lincsproject.org/	LDG-1288	NCBI:txid9606
https://www.lincsproject.org/	LDG-1154	NCBI:txid9606
https://www.lincsproject.org/	LDG-1168	NCBI:txid9606
https://www.lincsproject.org/	LDG-1172	NCBI:txid9606
https://www.lincsproject.org/	LDG-1147	NCBI:txid9606
https://www.lincsproject.org/	LDG-1068	NCBI:txid9606
https://www.lincsproject.org/	LDG-1067	NCBI:txid9606
https://www.lincsproject.org/	LDG-1015	NCBI:txid9606
https://www.lincsproject.org/	LDG-1016	NCBI:txid9606
https://www.lincsproject.org/	LDG-1007	NCBI:txid9606
https://www.lincsproject.org/	LDG-1071	NCBI:txid9606
https://www.lincsproject.org/	LDG-1017	NCBI:txid9606
https://www.lincsproject.org/	LDG-1139	NCBI:txid9606
https://www.lincsproject.org/	LDG-1334	NCBI:txid9606
https://www.lincsproject.org/	LDG-1335	NCBI:txid9606
https://www.lincsproject.org/	LDG-1336	NCBI:txid9606
https://www.lincsproject.org/	LDG-1337	NCBI:txid9606
https://www.lincsproject.org/	LDG-1325	NCBI:txid9606
https://www.lincsproject.org/	LDG-1326	NCBI:txid9606
https://www.lincsproject.org/	LDG-1327	NCBI:txid9606
https://www.lincsproject.org/	LDG-1304	NCBI:txid9606
https://www.lincsproject.org/	LDG-1305	NCBI:txid9606
https://www.lincsproject.org/	LDG-1302	NCBI:txid9606
https://www.lincsproject.org/	LDG-1303	NCBI:txid9606
https://www.lincsproject.org/	LDG-1117	NCBI:txid9606
https://www.lincsproject.org/	LDG-1116	NCBI:txid9606
https://www.lincsproject.org/	LDG-1034	NCBI:txid9606
https://www.lincsproject.org/	LDG-1035	NCBI:txid9606
https://www.lincsproject.org/	LDG-1076	NCBI:txid9606
https://www.lincsproject.org/	LDG-1006	NCBI:txid9606
https://www.lincsproject.org/	LDG-1115	NCBI:txid9606
https://www.lincsproject.org/	LDG-1036	NCBI:txid9606
https://www.lincsproject.org/	LDG-1173	NCBI:txid9606
https://www.lincsproject.org/	LDG-1240	NCBI:txid9606
https://www.lincsproject.org/	LDG-1236	NCBI:txid9606
https://www.lincsproject.org/	LDG-1301	NCBI:txid9606
https://www.lincsproject.org/	LDG-1328	NCBI:txid9606
https://www.lincsproject.org/	LDG-1329	NCBI:txid9606
https://www.lincsproject.org/	LDG-1330	NCBI:txid9606
https://www.lincsproject.org/	LDG-1151	NCBI:txid9606
https://www.lincsproject.org/	LDG-1207	NCBI:txid9606
https://www.lincsproject.org/	LDG-1295	NCBI:txid9606
https://www.lincsproject.org/	LDG-1176	NCBI:txid9606
https://www.lincsproject.org/	LDG-1031	NCBI:txid9606
https://www.lincsproject.org/	LDG-1388	NCBI:txid9606
https://www.lincsproject.org/	LDG-1064	NCBI:txid9606
https://www.lincsproject.org/	LDG-1293	NCBI:txid9606
https://www.lincsproject.org/	LDG-1294	NCBI:txid9606
https://www.lincsproject.org/	LDG-1091	NCBI:txid9606
https://www.lincsproject.org/	LDG-1029	NCBI:txid9606
https://www.lincsproject.org/	LDG-1083	NCBI:txid9606
https://www.lincsproject.org/	LDG-1041	NCBI:txid9606
https://www.lincsproject.org/	LDG-1025	NCBI:txid9606
https://www.lincsproject.org/	LDG-1100	NCBI:txid9606
https://www.lincsproject.org/	LDG-1163	NCBI:txid9606
https://www.lincsproject.org/	LDG-1161	NCBI:txid9606
https://www.lincsproject.org/	LDG-1199	NCBI:txid9606
https://www.lincsproject.org/	LDG-1188	NCBI:txid9606
https://www.lincsproject.org/	LDG-1227	NCBI:txid9606
https://www.lincsproject.org/	LDG-1198	NCBI:txid9606
https://www.lincsproject.org/	LDG-1264	NCBI:txid9606
https://www.lincsproject.org/	LDG-1312	NCBI:txid9606
https://www.lincsproject.org/	LDG-1191	NCBI:txid9606
https://www.lincsproject.org/	LDG-1313	NCBI:txid9606
https://www.lincsproject.org/	LDG-1314	NCBI:txid9606
https://www.lincsproject.org/	LDG-1315	NCBI:txid9606
https://www.lincsproject.org/	LDG-1316	NCBI:txid9606
https://www.lincsproject.org/	LDG-1317	NCBI:txid9606
https://www.lincsproject.org/	LDG-1318	NCBI:txid9606
https://www.lincsproject.org/	LDG-1319	NCBI:txid9606
https://www.lincsproject.org/	LDG-1320	NCBI:txid9606
https://www.lincsproject.org/	LDG-1321	NCBI:txid9606
https://www.lincsproject.org/	LDG-1432	NCBI:txid9606
https://www.lincsproject.org/	LDG-1435	NCBI:txid9606
https://www.lincsproject.org/	LDG-1433	NCBI:txid9606
https://www.lincsproject.org/	LDG-1436	NCBI:txid9606
https://www.lincsproject.org/	LDG-1437	NCBI:txid9606
https://www.lincsproject.org/	LDG-1434	NCBI:txid9606
https://www.lincsproject.org/	LDG-1341	NCBI:txid9606
https://www.lincsproject.org/	LDG-1342	NCBI:txid9606
https://www.lincsproject.org/	LDG-1343	NCBI:txid9606
https://www.lincsproject.org/	LDG-1344	NCBI:txid9606
https://www.lincsproject.org/	LDG-1345	NCBI:txid9606
https://www.lincsproject.org/	LDG-1346	NCBI:txid9606
https://www.lincsproject.org/	LDG-1347	NCBI:txid9606
https://www.lincsproject.org/	LDG-1356	NCBI:txid9606
https://www.lincsproject.org/	LDG-1357	NCBI:txid9606
https://www.lincsproject.org/	LDG-1358	NCBI:txid9606
https://www.lincsproject.org/	LDG-1359	NCBI:txid9606
https://www.lincsproject.org/	LDG-1360	NCBI:txid9606
https://www.lincsproject.org/	LDG-1361	NCBI:txid9606
https://www.lincsproject.org/	LDG-1348	NCBI:txid9606
https://www.lincsproject.org/	LDG-1349	NCBI:txid9606
https://www.lincsproject.org/	LDG-1350	NCBI:txid9606
https://www.lincsproject.org/	LDG-1351	NCBI:txid9606
https://www.lincsproject.org/	LDG-1352	NCBI:txid9606
https://www.lincsproject.org/	LDG-1353	NCBI:txid9606
https://www.lincsproject.org/	LDG-1354	NCBI:txid9606
https://www.lincsproject.org/	LDG-1355	NCBI:txid9606
https://www.lincsproject.org/	LDG-1265	NCBI:txid9606
https://www.lincsproject.org/	LDG-1266	NCBI:txid9606
https://www.lincsproject.org/	LDG-1220	NCBI:txid9606
https://www.lincsproject.org/	LDG-1243	NCBI:txid9606
https://www.lincsproject.org/	LDG-1244	NCBI:txid9606
https://www.lincsproject.org/	LDG-1245	NCBI:txid9606
https://www.lincsproject.org/	LDG-1246	NCBI:txid9606
https://www.lincsproject.org/	LDG-1247	NCBI:txid9606
https://www.lincsproject.org/	LDG-1248	NCBI:txid9606
https://www.lincsproject.org/	LDG-1221	NCBI:txid9606
https://www.lincsproject.org/	LDG-1222	NCBI:txid9606
https://www.lincsproject.org/	LDG-1223	NCBI:txid9606
https://www.lincsproject.org/	LDG-1224	NCBI:txid9606
https://www.lincsproject.org/	LDG-1225	NCBI:txid9606
https://www.lincsproject.org/	LDG-1226	NCBI:txid9606
https://www.lincsproject.org/	LDG-1241	NCBI:txid9606
https://www.lincsproject.org/	LDG-1242	NCBI:txid9606
https://www.lincsproject.org/	LDG-1137	NCBI:txid9606
https://www.lincsproject.org/	LDG-1090	NCBI:txid9606
https://www.lincsproject.org/	LDG-1133	NCBI:txid9606
https://www.lincsproject.org/	LDG-1216	NCBI:txid9606
https://www.lincsproject.org/	LDG-1375	NCBI:txid9606
https://www.lincsproject.org/	LDG-1376	NCBI:txid9606
https://www.lincsproject.org/	LDG-1377	NCBI:txid9606
https://www.lincsproject.org/	LDG-1378	NCBI:txid9606
https://www.lincsproject.org/	LDG-1364	NCBI:txid9606
https://www.lincsproject.org/	LDG-1365	NCBI:txid9606
https://www.lincsproject.org/	LDG-1374	NCBI:txid9606
https://www.lincsproject.org/	LDG-1366	NCBI:txid9606
https://www.lincsproject.org/	LDG-1367	NCBI:txid9606
https://www.lincsproject.org/	LDG-1370	NCBI:txid9606
https://www.lincsproject.org/	LDG-1368	NCBI:txid9606
https://www.lincsproject.org/	LDG-1371	NCBI:txid9606
https://www.lincsproject.org/	LDG-1369	NCBI:txid9606
https://www.lincsproject.org/	LDG-1372	NCBI:txid9606
https://www.lincsproject.org/	LDG-1373	NCBI:txid9606
https://www.lincsproject.org/	LDG-1267	NCBI:txid9606
https://www.lincsproject.org/	LDG-1268	NCBI:txid9606
https://www.lincsproject.org/	LDG-1269	NCBI:txid9606
https://www.lincsproject.org/	LDG-1270	NCBI:txid9606
https://www.lincsproject.org/	LDG-1271	NCBI:txid9606
https://www.lincsproject.org/	LDG-1272	NCBI:txid9606
https://www.lincsproject.org/	LDG-1273	NCBI:txid9606
https://www.lincsproject.org/	LDG-1274	NCBI:txid9606
https://www.lincsproject.org/	LDG-1275	NCBI:txid9606
https://www.lincsproject.org/	LDG-1276	NCBI:txid9606
https://www.lincsproject.org/	EDS-1001	NCBI:txid9606
https://www.lincsproject.org/	EDS-1002	NCBI:txid9606
https://www.lincsproject.org/	EDS-1007	NCBI:txid9606
https://www.lincsproject.org/	EDS-1006	NCBI:txid9606
https://www.lincsproject.org/	EDS-1010	NCBI:txid9606
https://www.lincsproject.org/	EDS-1011	NCBI:txid9606
https://www.lincsproject.org/	EDS-1005	NCBI:txid9606
https://www.lincsproject.org/	EDS-1012	NCBI:txid9606
https://www.lincsproject.org/	EDS-1004	NCBI:txid9606
https://www.lincsproject.org/	EDS-1009	NCBI:txid9606
https://www.lincsproject.org/	EDS-1008	NCBI:txid9606
https://www.lincsproject.org/	EDS-1003	NCBI:txid9606
https://www.lincsproject.org/	LDG-1135	NCBI:txid9606
https://www.lincsproject.org/	LDG-1026	NCBI:txid9606
https://www.lincsproject.org/	LDG-1206	NCBI:txid9606
https://www.lincsproject.org/	LDG-1212	NCBI:txid9606
https://www.lincsproject.org/	LDG-1201	NCBI:txid9606
https://www.lincsproject.org/	LDG-1103	NCBI:txid9606
https://www.lincsproject.org/	LDG-1001	NCBI:txid9606
https://www.lincsproject.org/	LDG-1002	NCBI:txid9606
https://www.lincsproject.org/	LDG-1299	NCBI:txid9606
https://www.lincsproject.org/	LDG-1300	NCBI:txid9606
https://www.lincsproject.org/	LDG-1384	NCBI:txid9606
https://www.lincsproject.org/	LDG-1044	NCBI:txid9606
https://www.lincsproject.org/	LDG-1089	NCBI:txid9606
https://www.lincsproject.org/	LDG-1024	NCBI:txid9606
https://www.lincsproject.org/	LDG-1087	NCBI:txid9606
https://www.lincsproject.org/	LDG-1092	NCBI:txid9606
https://www.lincsproject.org/	LDG-1140	NCBI:txid9606
https://www.lincsproject.org/	LDG-1113	NCBI:txid9606
https://www.lincsproject.org/	LDG-1185	NCBI:txid9606
https://www.lincsproject.org/	LDG-1391	NCBI:txid9606
https://www.lincsproject.org/	LDG-1285	NCBI:txid9606
https://www.lincsproject.org/	LDG-1282	NCBI:txid9606
https://www.lincsproject.org/	LDG-1183	NCBI:txid9606
https://www.lincsproject.org/	LDG-1063	NCBI:txid9606
https://www.lincsproject.org/	LDG-1028	NCBI:txid9606
https://www.lincsproject.org/	LDG-1038	NCBI:txid9606
https://www.lincsproject.org/	LDG-1250	NCBI:txid9606
https://www.lincsproject.org/	LDG-1018	NCBI:txid9606
https://www.lincsproject.org/	LDG-1144	NCBI:txid9606
https://www.lincsproject.org/	LDG-1109	NCBI:txid9606
https://www.lincsproject.org/	LDG-1108	NCBI:txid9606
https://www.lincsproject.org/	LDG-1145	NCBI:txid9606
https://www.lincsproject.org/	LDG-1165	NCBI:txid9606
https://www.lincsproject.org/	LDG-1214	NCBI:txid9606
https://www.lincsproject.org/	LDG-1213	NCBI:txid9606
https://www.lincsproject.org/	LDG-1009	NCBI:txid9606
https://www.lincsproject.org/	LDG-1132	NCBI:txid9606
https://www.lincsproject.org/	LDG-1073	NCBI:txid9606
https://www.lincsproject.org/	LDG-1011	NCBI:txid9606
https://www.lincsproject.org/	LDG-1075	NCBI:txid9606
https://www.lincsproject.org/	LDG-1396	NCBI:txid9606
https://www.lincsproject.org/	LDG-1141	NCBI:txid9606
https://www.lincsproject.org/	LDG-1308	NCBI:txid9606
https://www.lincsproject.org/	LDG-1309	NCBI:txid9606
https://www.lincsproject.org/	LDG-1311	NCBI:txid9606
https://www.lincsproject.org/	LDG-1203	NCBI:txid9606
https://www.lincsproject.org/	LDG-1204	NCBI:txid9606
https://www.lincsproject.org/	LDG-1310	NCBI:txid9606
https://www.lincsproject.org/	LDG-1444	NCBI:txid9606
https://www.lincsproject.org/	LDG-1045	NCBI:txid9606
https://www.lincsproject.org/	LDG-1182	NCBI:txid9606
https://www.lincsproject.org/	LDG-1046	NCBI:txid9606
https://www.lincsproject.org/	LDG-1292	NCBI:txid9606
https://www.lincsproject.org/	LDG-1093	NCBI:txid9606
https://www.lincsproject.org/	LDG-1126	NCBI:txid9606
https://www.lincsproject.org/	LDG-1179	NCBI:txid9606
https://www.lincsproject.org/	LDG-1180	NCBI:txid9606
https://www.lincsproject.org/	LDG-1411	NCBI:txid9606
https://www.lincsproject.org/	LDG-1410	NCBI:txid9606
https://www.lincsproject.org/	LDG-1412	NCBI:txid9606
https://www.lincsproject.org/	LDG-1383	NCBI:txid9606
https://www.lincsproject.org/	LDG-1155	NCBI:txid9606
https://www.lincsproject.org/	LDG-1008	NCBI:txid9606
https://www.lincsproject.org/	LDG-1072	NCBI:txid9606
https://www.lincsproject.org/	LDG-1386	NCBI:txid9606
https://www.lincsproject.org/	LDG-1143	NCBI:txid9606
https://www.lincsproject.org/	LDG-1162	NCBI:txid9606
https://www.lincsproject.org/	LDG-1094	NCBI:txid9606
https://www.lincsproject.org/	LDG-1200	NCBI:txid9606
https://www.lincsproject.org/	LDG-1066	NCBI:txid9606
https://www.lincsproject.org/	LDG-1005	NCBI:txid9606
https://www.lincsproject.org/	LDG-1170	NCBI:txid9606
https://www.lincsproject.org/	LDG-1070	NCBI:txid9606
https://www.lincsproject.org/	LDG-1157	NCBI:txid9606
https://www.lincsproject.org/	LDG-1217	NCBI:txid9606
https://www.lincsproject.org/	LDG-1218	NCBI:txid9606
https://www.lincsproject.org/	LDG-1219	NCBI:txid9606
https://www.lincsproject.org/	LDG-1177	NCBI:txid9606
https://www.lincsproject.org/	LDG-1023	NCBI:txid9606
https://www.lincsproject.org/	LDG-1152	NCBI:txid9606
https://www.lincsproject.org/	LDG-1208	NCBI:txid9606
https://www.lincsproject.org/	LDG-1387	NCBI:txid9606
https://www.lincsproject.org/	LDG-1146	NCBI:txid9606
https://www.lincsproject.org/	LDG-1003	NCBI:txid9606
https://www.lincsproject.org/	LDG-1004	NCBI:txid9606
https://www.lincsproject.org/	LDG-1442	NCBI:txid9606
https://www.lincsproject.org/	LDG-1291	NCBI:txid9606
https://www.lincsproject.org/	LDG-1047	NCBI:txid9606
https://www.lincsproject.org/	LDG-1077	NCBI:txid9606
https://www.lincsproject.org/	LDG-1048	NCBI:txid9606
https://www.lincsproject.org/	LDG-1078	NCBI:txid9606
https://www.lincsproject.org/	LDG-1381	NCBI:txid9606
https://www.lincsproject.org/	LDG-1414	NCBI:txid9606
https://www.lincsproject.org/	LDG-1402	NCBI:txid9606
https://www.lincsproject.org/	LDG-1403	NCBI:txid9606
https://www.lincsproject.org/	LDG-1105	NCBI:txid9606
https://www.lincsproject.org/	LDG-1106	NCBI:txid9606
https://www.lincsproject.org/	LDG-1175	NCBI:txid9606
https://www.lincsproject.org/	LDG-1156	NCBI:txid9606
https://www.lincsproject.org/	LDG-1164	NCBI:txid9606
https://www.lincsproject.org/	LDG-1202	NCBI:txid9606
https://www.lincsproject.org/	LDG-1307	NCBI:txid9606
https://www.lincsproject.org/	LDG-1306	NCBI:txid9606
https://www.lincsproject.org/	LDG-1020	NCBI:txid9606
https://www.lincsproject.org/	LDG-1039	NCBI:txid9606
https://www.lincsproject.org/	LDG-1062	NCBI:txid9606
https://www.lincsproject.org/	LDG-1102	NCBI:txid9606
https://www.lincsproject.org/	LDG-1049	NCBI:txid9606
https://www.lincsproject.org/	LDG-1050	NCBI:txid9606
https://www.lincsproject.org/	LDG-1051	NCBI:txid9606
https://www.lincsproject.org/	LDG-1249	NCBI:txid9606
https://www.lincsproject.org/	LDG-1052	NCBI:txid9606
https://www.lincsproject.org/	LDG-1389	NCBI:txid9606
https://www.lincsproject.org/	LDG-1098	NCBI:txid9606
https://www.lincsproject.org/	LDG-1086	NCBI:txid9606
https://www.lincsproject.org/	LDG-1053	NCBI:txid9606
https://www.lincsproject.org/	LDG-1080	NCBI:txid9606
https://www.lincsproject.org/	LDG-1054	NCBI:txid9606
https://www.lincsproject.org/	LDG-1081	NCBI:txid9606
https://www.lincsproject.org/	LDG-1055	NCBI:txid9606
https://www.lincsproject.org/	LDG-1056	NCBI:txid9606
https://www.lincsproject.org/	LDG-1057	NCBI:txid9606
https://www.lincsproject.org/	LDG-1058	NCBI:txid9606
https://www.lincsproject.org/	LDG-1082	NCBI:txid9606
https://www.lincsproject.org/	LDG-1059	NCBI:txid9606
https://www.lincsproject.org/	LDG-1084	NCBI:txid9606
https://www.lincsproject.org/	LDG-1060	NCBI:txid9606
https://www.lincsproject.org/	LDG-1085	NCBI:txid9606
https://www.lincsproject.org/	LDG-1061	NCBI:txid9606
https://www.lincsproject.org/	LDG-1030	NCBI:txid9606
https://www.lincsproject.org/	LDG-1205	NCBI:txid9606
https://www.lincsproject.org/	LDG-1401	NCBI:txid9606
https://www.lincsproject.org/	LDG-1394	NCBI:txid9606
https://www.lincsproject.org/	LDG-1393	NCBI:txid9606
https://www.lincsproject.org/	LDG-1339	NCBI:txid9606
https://www.lincsproject.org/	LDG-1362	NCBI:txid9606
https://www.lincsproject.org/	LDG-1338	NCBI:txid9606
https://www.lincsproject.org/	LDG-1363	NCBI:txid9606
https://www.lincsproject.org/	LDG-1297	NCBI:txid9606
https://www.lincsproject.org/	LDG-1298	NCBI:txid9606
https://www.lincsproject.org/	LDG-1296	NCBI:txid9606
