Tool_Name	tool_homepage_url	Tool_Description	Available	Center	PMID	Electronic_Location_Identifier	Article_Title	Article_Date	Abstract	Journal_Title	ISSN	CFDE_Grant	Citations	Readers_Count	Altmetric_Score	Facebook_Shares	Readers_in_Mendeley	Mentions_in_social_media	Twitter_accounts_that_tweeted_this_publication	Scientists_who_mentioned_the_publication_on_Twitter	Institution	Country
ARCHS4	https://maayanlab.cloud/archs4/	Massive mining of publicly available RNA-seq data from human and mouse	True	DCIC	29636450	10.1038/s41467-018-03751-6	Massive mining of publicly available RNA-seq data from human and mouse	2018-04-10	RNA sequencing (RNA-seq) is the leading technology for genome-wide transcript quantification. However, publicly available RNA-seq data is currently provided mostly in raw form, a significant barrier for global and integrative retrospective analyses. ARCHS4 is a web resource that makes the majority of published RNA-seq data from human and mouse available at the gene and transcript levels. For developing ARCHS4, available FASTQ files from RNA-seq experiments from the Gene Expression Omnibus (GEO) were aligned using a cloud-based infrastructure. In total 187,946 samples are accessible through ARCHS4 with 103,083 mouse and 84,863 human. Additionally, the ARCHS4 web interface provides intuitive exploration of the processed data through querying tools, interactive visualization, and gene pages that provide average expression across cell lines and tissues, top co-expressed genes for each gene, and predicted biological functions and protein-protein interactions for each gene based on prior knowledge combined with co-expression.	Nature communications	2041-1723		106.0		69.0		438.0		116.0			
BioJupies	http://biojupies.cloud	Automated Generation of Interactive Notebooks for RNASeq Data Analysis in the Cloud.	True	DCIC	30447998	10.1016/j.cels.2018.10.007	BioJupies Automated Generation of Interactive Notebooks for RNASeq Data Analysis in the Cloud.	2018-11-14	BioJupies is a web application that enables the automated creation storage and deployment of Jupyterxa0Notebooks containing RNAseq data analyses. Through an intuitive interface novice users can rapidly generate tailored reports to analyze and visualize their own raw sequencing files gene expression tables or fetch data from 9000 published studies containing 300000 preprocessed RNAseq samples. Generated notebooks have the executable code of the entire pipeline rich narrative text interactive data visualizations differential expression and enrichment analyses. The notebooks are permanently stored in the cloud and made available online through a persistent URL. The notebooks are downloadable customizable and can run within a Docker container. By providing an intuitive user interface for notebook generation for RNAseq data analysis starting from the raw reads all the way to a complete interactive and reproducible report BioJupies is a useful resource for experimental and computational biologists. BioJupies is freely available as a webbased application from http//biojupies.cloud.	Cell systems	2405-4712	CA224260	22.0	119.0	111.0		117.0	2.0	83.0	46.0	Icahn School of Medicine at Mount Sinai	USA
ChEA3	https://maayanlab.cloud/ChEA3	transcription factor enrichment analysis by orthogonal omics integration.	True	DCIC	31114921	10.1093/nar/gkz446	ChEA3 transcription factor enrichment analysis by orthogonal omics integration.	2019-05-22	Identifying the transcription factors TFs responsible for observed changes in gene expression is an important step in understanding gene regulatory networks. ChIPX Enrichment Analysis 3 ChEA3 is a transcription factor enrichment analysis tool that ranks TFs associated with usersubmitted gene sets. The ChEA3 background database contains a collection of gene set libraries generated from multiple sources including TFgene coexpression from RNAseq studies TFtarget associations from ChIPseq experiments and TFgene cooccurrence computed from crowdsubmitted gene lists. Enrichment results from these distinct sources are integrated to generate a composite rank that improves the prediction of the correct upstream TF compared to ranks produced by individual libraries. We compare ChEA3 with existing TF prediction tools and show that ChEA3 performs better. By integrating the ChEA3 libraries we illuminate general transcription factor properties such as whether the TF behaves as an activator or a repressor. The ChEA3 webserver is available from https//amp.pharm.mssm.edu/ChEA3.	Nucleic acids research	1362-4962	CA224260	10.0	74.0	14.0		74.0		21.0	11.0	Icahn School of Medicine at Mount Sinai	USA
Cite-D-Lite	https://chrome.google.com/webstore/detail/cite-d-lite/ipiffhgeigmiffclkpkgdaklbdgdegkk%3Fhl%3Den	Simple-to-use browser extension that generates downloadable files (.ris, .bib, .enw) compatible with various reference managers	True	DCIC																		
Clarion	https://www.lincsclarion.org/%23/	Millions of Micro Environment Perturbations at a click	True	MEP LINCS																		
CLUE Platform	https://clue.io/	Computational environment to interface with the L1000 data	True	LINCS Transcriptomics	29195078	10.1016/j.cell.2017.10.049	A Next Generation Connectivity Map L1000 Platform and the First 1,000,000 Profiles	2017-11-30	We previously piloted the concept of a Connectivity Map (CMap), whereby genes, drugs, and disease states are connected by virtue of common gene-expression signatures. Here, we report more than a 1,000-fold scale-up of the CMap as part of the NIH LINCS Consortium, made possible by a new, low-cost, high-throughput reduced representation expression profiling method that we term L1000. We show that L1000 is highly reproducible, comparable to RNA sequencing, and suitable for computational inference of the expression levels of 81% of non-measured transcripts. We further show that the expanded CMap can be used to discover mechanism of action of small molecules, functionally annotate genetic variants of disease genes, and inform clinical trials. The 1.3 million L1000 profiles described here, as well as tools for their analysis, are available at https://clue.io.	Cell	1097-4172		497.0	1136.0			1136.0	4.0	80.0			
CLUE Repurposing App	https://clue.io/repurposing-app	Tool to explore repurposing collection of ~5000 tool compounds and drugs	True	LINCS Transcriptomics																		
CREEDS	https://maayanlab.cloud/CREEDS/	Collections of processed gene, drug and disease signatures from GEO	True	DCIC	27667448	10.1038/ncomms12846	Extraction and analysis of signatures from the Gene Expression Omnibus by the crowd	2016-09-26	Gene expression data are accumulating exponentially in public repositories. Reanalysis and integration of themed collections from these studies may provide new insights, but requires further human curation. Here we report a crowdsourcing project to annotate and reanalyse a large number of gene expression profiles from Gene Expression Omnibus (GEO). Through a massive open online course on Coursera, over 70 participants from over 25 countries identify and annotate 2,460 single-gene perturbation signatures, 839 disease versus normal signatures, and 906 drug perturbation signatures. All these signatures are unique and are manually validated for quality. Global analysis of these signatures confirms known associations and identifies novel associations between genes, diseases and drugs. The manually curated signatures are used as a training set to develop classifiers for extracting similar signatures from the entire GEO repository. We develop a web portal to serve these signatures for query, download and visualization.	Nature communications	2041-1723		76.0	218.0	39.0	3.0	218.0		41.0			
Crowdsourcing Portal	http://www.maayanlab.net/crowdsourcing/	On this web-site you can submit your contributions to the microtasks and megatasks assignments listed on this site.	True	DCIC	27667448	10.1038/ncomms12846	Extraction and analysis of signatures from the Gene Expression Omnibus by the crowd	2016-09-26	Gene expression data are accumulating exponentially in public repositories. Reanalysis and integration of themed collections from these studies may provide new insights, but requires further human curation. Here we report a crowdsourcing project to annotate and reanalyse a large number of gene expression profiles from Gene Expression Omnibus (GEO). Through a massive open online course on Coursera, over 70 participants from over 25 countries identify and annotate 2,460 single-gene perturbation signatures, 839 disease versus normal signatures, and 906 drug perturbation signatures. All these signatures are unique and are manually validated for quality. Global analysis of these signatures confirms known associations and identifies novel associations between genes, diseases and drugs. The manually curated signatures are used as a training set to develop classifiers for extracting similar signatures from the entire GEO repository. We develop a web portal to serve these signatures for query, download and visualization.	Nature communications	2041-1723		76.0	218.0	39.0	3.0	218.0		41.0			
cynetworkbrowser	https://cynetworkbrowser.umt.edu/	An interactive tool for generating and viewing protein interaction networks	False	DCIC																		
Datasets2Tools	http://maayanlab.cloud/datasets2tools	Datasets2Tools repository and search engine for bioinformatics datasets tools and canned analyses	True	DCIC	29485625	10.1038/sdata.2018.23	Datasets2Tools repository and search engine for bioinformatics datasets tools and canned analyses.	2018-02-27	Biomedical data repositories such as the Gene Expression Omnibus GEO enable the search and discovery of relevant biomedical digital data objects. Similarly resources such as OMICtools index bioinformatics tools that can extract knowledge from these digital data objects. However systematic access to pregenerated canned analyses applied by bioinformatics tools to biomedical digital data objects is currently not available. Datasets2Tools is a repository indexing 31473 canned bioinformatics analyses applied to 6431 datasets. The Datasets2Tools repository also contains the indexing of 4901 published bioinformatics software tools and all the analyzed datasets. Datasets2Tools enables users to rapidly find datasets tools and canned analyses through an intuitive web interface a Google Chrome extension and an API. Furthermore Datasets2Tools provides a platform for contributing canned analyses datasets and tools as well as evaluating these digital objects according to their compliance with the findable accessible interoperable and reusable FAIR principles. By incorporating community engagement Datasets2Tools promotes sharing of digital resources to stimulate the extraction of knowledge from biomedical research data. Datasets2Tools is freely available from http//amp.pharm.mssm.edu/datasets2tools.	Scientific data	2052-4463	HL127624	3.0	58.0	20.0		58.0		36.0	20.0	Icahn School of Medicine at Mount Sinai	UK
Drug Gene Budger	http://DGB.cloud	An application for ranking drugs to modulate a specific gene based on transcriptomic signatures.	True	DCIC	30169739	10.1093/bioinformatics/bty763	Drug Gene Budger  DGB : an application for ranking drugs to modulate a specific gene based on transcriptomic signatures.		Mechanistic molecular studies in biomedical research often discover important genes that are aberrantly over- or under-expressed in disease. However  manipulating these genes in an attempt to improve the disease state is challenging. Herein  we reveal Drug Gene Budger  DGB   a web-based and mobile application developed to assist investigators in order to prioritize small molecules that are predicted to maximally influence the expression of their target gene of interest. With DGB  users can enter a gene symbol along with the wish to up-regulate or down-regulate its expression. The output of the application is a ranked list of small molecules that have been experimentally determined to produce the desired expression effect. The table includes log-transformed fold change  P-value and q-value for each small molecule  reporting the significance of differential expression as determined by the limma method. Relevant links are provided to further explore knowledge about the target gene  the small molecule and the source of evidence from which the relationship between the small molecule and the target gene was derived. The experimental data contained within DGB is compiled from signatures extracted from the LINCS L1000 dataset  the original Connectivity Map  CMap  dataset and the Gene Expression Omnibus  GEO . DGB also presents a specificity measure for a drug-gene connection based on the number of genes a drug modulates. DGB provides a useful preliminary technique for identifying small molecules that can target the expression of a single gene in human cells and tissues.    The application is freely available on the web at http://DGB.cloud and as a mobile phone application on iTunes https://itunes.apple.com/us/app/drug-gene-budger/id1243580241  mt=8 and Google Play https://play.google.com/store/apps/details  id=com.drgenebudger.    Supplementary data are available at Bioinformatics online.	Bioinformatics (Oxford, England)	1367-4811	CA224260	1.0	35.0	16.0						Department of Pharmacological Scis	USA
Drug Pathway Browser	https://lincs.hms.harvard.edu/explore/pathway/	Interactive map of key signal transduction pathways and drug-target data	True	HMS LINCS	22003129	10.1073/pnas.1018854108	Subtype and pathway specific responses to anticancer compounds in breast cancer	2012-02-21	Breast cancers are comprised of molecularly distinct subtypes that may respond differently to pathway-targeted therapies now under development. Collections of breast cancer cell lines mirror many of the molecular subtypes and pathways found in tumors, suggesting that treatment of cell lines with candidate therapeutic compounds can guide identification of associations between molecular subtypes, pathways, and drug response. In a test of 77 therapeutic compounds, nearly all drugs showed differential responses across these cell lines, and approximately one third showed subtype-, pathway-, and/or genomic aberration-specific responses. These observations suggest mechanisms of response and resistance and may inform efforts to develop molecular assays that predict clinical response.	PNAS	1091-6490		334.0	506.0	9.0		506.0		3.0			
Drug Response Browser	https://lincs.hms.harvard.edu/explore/10.1038-nchembio.1337/fallahi-sichani-2013/	Online tool for browsing breast cancer cell line drug dose-response data	False	HMS LINCS																		
Drug/Cell-Line Browser	http://www.maayanlab.net/LINCS/DCB/	DCB provides interactive visualization of cancer cell-line viability data	True	DCIC	25100688	10.1093/bioinformatics/btu526	Drug/Cell-line Browser: interactive canvas visualization of cancer drug/cell-line viability assay datasets	2014-11-15	Recently, several high profile studies collected cell viability data from panels of cancer cell lines treated with many drugs applied at different concentrations. Such drug sensitivity data for cancer cell lines provide suggestive treatments for different types and subtypes of cancer. Visualization of these datasets can reveal patterns that may not be obvious by examining the data without such efforts. Here we introduce Drug/Cell-line Browser (DCB), an online interactive HTML5 data visualization tool for interacting with three of the recently published datasets of cancer cell lines/drug-viability studies. DCB uses clustering and canvas visualization of the drugs and the cell lines, as well as a bar graph that summarizes drug effectiveness for the tissue of origin or the cancer subtypes for single or multiple drugs. DCB can help in understanding drug response patterns and prioritizing drug/cancer cell line interactions by tissue of origin or cancer subtype.	Bioinformatics (Oxford, England)	1460-2059		6.0	30.0	4.0	2.0	30.0		6.0			
DToxS Portal	https://martip03.u.hpc.mssm.edu/	Web portal to provide access to the DToxS Center's data, metadata and analyses	True	DToxS																		
Enrichr	http://maayanlab.cloud/Enrichr	Interactive and collaborative HTML5 gene list enrichment analysis tool.	True	DCIC	23586463	10.1186/1471-2105-14-128	Enrichr interactive and collaborative HTML5 gene list enrichment analysis tool.	2013-04-15	Systemwide profiling of genes and proteins in mammalian cells produce lists of differentially expressed genes/proteins that need to be further analyzed for their collective functions in order to extract new knowledge. Once unbiased lists of genes or proteins are generated from such experiments these lists are used as input for computing enrichment with existing lists created from prior knowledge organized into geneset libraries. While many enrichment analysis tools and geneset libraries databases have been developed there is still room for improvement. Here we present Enrichr an integrative webbased and mobile software application that includes new geneset libraries an alternative approach to rank enriched terms and various interactive visualization approaches to display enrichment results using the JavaScript library Data Driven Documents D3. The software can also be embedded into any tool that performs gene list analysis. We applied Enrichr to analyze nine cancer cell lines by comparing their enrichment signatures to the enrichment signatures of matched normal tissues. We observed a common pattern of up regulation of the polycomb group PRC2 and enrichment for the histone mark H3K27me3 in many cancer cell lines as well as alterations in Tolllike receptor and interlukin signaling in K562 cells when compared with normal myeloid CD33 cells. Such analyses provide global visualization of critical differences between normal tissues and cancer cell lines but can be applied to many other scenarios. Enrichr is an easy to use intuitive enrichment analysis webbased tool providing various types of visualization summaries of collective functions of gene lists. Enrichr is open source and freely available online at http//amp.pharm.mssm.edu/Enrichr.	BMC bioinformatics	1471-2105	HG006097	1037.0	1229.0	21.0		1224.0	18.0	14.0	11.0	Icahn School of Medicine at Mount Sinai	USA
EnrichrBot	https://twitter.com/botenrichr	Twitter bot tracking tweets about human genes.	True	DCIC	32277816	10.1093/bioinformatics/btaa240	EnrichrBot Twitter bot tracking tweets about human genes.	2020-06-01	Microblogging with Twitter to communicate new results discuss ideas and share techniques is becoming central. While most Twitter users are real people the Twitter API provides the opportunity to develop Twitter bots and to analyze global trends in tweets. EnrichrBot is a bot that tracks and tweets information about human genes implementing six principal functions i tweeting information about understudied genes including noncoding lncRNAs ii replying to requests for information about genes iii responding to GWASbot another bot that tweets Manhattan plots from genomewide association study analysis of the UK Biobank iv tweeting randomly selected gene sets from the Enrichr database for analysis with Enrichr v responding to mentions of human genes in tweets with additional information about these genes and vi tweeting a weekly report about the most trending genes on Twitter. https//twitter.com/botenrichr source code https//github.com/MaayanLab/EnrichrBot. Supplementary data are available at Bioinformatics online.	Bioinformatics (Oxford, England)	1367-4811	CA224260	0.0	0.0	7.0		0.0		15.0	6.0	Department of Pharmacological scis, Mount Sinai Center for Bioinformatics, Icahn School of Medicine at Mount Sinai, One Gustave L. Levy Place, Box 1603, New York, NY 10029, USA.	USA
GEN3VA	http://maayanlab.cloud/gen3va	Aggregates and analyzes gene expression signatures extracted from GEO	True	DCIC	27846806	10.1186/s12859-016-1321-1	GEN3VA aggregation and analysis of gene expression signatures from related studies.	2016-11-15	Genomewide gene expression profiling of mammalian cells is becoming a staple of many published biomedical and biological research studies. Such data is deposited into data repositories such as the Gene Expression Omnibus GEO for potential reuse. However these repositories currently do not provide simple interfaces to systematically analyze collections of related studies. Here we present GENE Expression and Enrichment Vector Analyzer GEN3VA a webbased system that enables the integrative analysis of aggregated collections of tagged gene expression signatures identified and extracted from GEO. Each tagged collection of signatures is presented in a report that consists of heatmaps of the differentially expressed genes principal component analysis of all signatures enrichment analysis with several gene set libraries across all signatures which we term enrichment vector analysis and global mapping of small molecules that are predicted to reverse or mimic each signature in the aggregate. We demonstrate how GEN3VA can be used to identify common molecular mechanisms of aging by analyzing tagged signatures from 244 studies that compared young vs. old tissues in mammalian systems. In a second case study we collected 86 signatures from treatment of human cells with dexamethasone a glucocorticoid receptor GR agonist. Our analysis confirms consensus GR target genes and predicts potential drug mimickers. GEN3VA can be used to identify aggregate and analyze themed collections of gene expression signatures from diverse but related studies. Such integrative analyses can be used to address concerns about data reproducibility confirm results across labs and discover new collective knowledge by data reuse. GEN3VA is an opensource webbased system that is freely available at http//amp.pharm.mssm.edu/gen3va .	BMC bioinformatics	1471-2105	HL127624	7.0	37.0	8.0		37.0		8.0	2.0	Icahn School of Medicine at Mount Sinai	UK
Geneshot	https://maayanlab.cloud/geneshot	Search engine for ranking genes from arbitrary text queries.	True	DCIC	31114885	10.1093/nar/gkz393	Geneshot search engine for ranking genes from arbitrary text queries.	2019-05-22	The frequency by which genes are studied correlates with the prior knowledge accumulated about them. This leads to an imbalance in research attention where some genes are highly investigated while others are ignored. Geneshot is a search engine developed to illuminate this gap and to promote attention to the understudied genome. Through a simple web interface Geneshot enables researchers to enter arbitrary search terms to receive ranked lists of genes relevant to the search terms. Returned ranked gene lists contain genes that were previously published in association with the search terms as well as genes predicted to be associated with the terms based on data integration from multiple sources. The search results are presented with interactive visualizations. To predict gene function Geneshot utilizes genegene similarity matrices from processed RNAseq data or from genegene cooccurrence data obtained from multiple sources. In addition Geneshot can be used to analyze the novelty of gene sets and augment gene sets with additional relevant genes.xa0The Geneshot webserver and API are freely and openly available from https//amp.pharm.mssm.edu/geneshot.	Nucleic acids research	1362-4962	CA224260	4.0	27.0	18.0		27.0		30.0	14.0	Icahn School of Medicine at Mount Sinai	USA
GEO2Enrichr	http://maayanlab.cloud/g2e/	A web app and browser extension to extract and analyze signatures from GEO	True	DCIC	25971742	10.1093/bioinformatics/btv297	GEO2Enrichr browser extension and server app to extract gene sets from GEO and analyze them for biological functions.	2015-05-13	Identification of differentially expressed genes is an important step in extracting knowledge from gene expression profiling studies. The raw expression data from microarray and other highthroughput technologies is deposited into the Gene Expression Omnibus GEO and served as Simple Omnibus Format in Text SOFT files. However to extract and analyze differentially expressed genes from GEO requires significant computational skills. Here we introduce GEO2Enrichr a browser extension for extracting differentially expressed gene sets from GEO and analyzing those sets with Enrichr an independent gene set enrichment analysis tool containing over 70u2009000 annotated gene sets organized into 75 geneset libraries. GEO2Enrichr adds JavaScript code to GEO webpages this code scrapes user selected accession numbers and metadata and then with one click users can submit this information to a webserver application that downloads the SOFT files parses cleans and normalizes the data identifies the differentially expressed genes and then pipes the resulting gene lists to Enrichr for downstream functional analysis. GEO2Enrichr opens a new avenue for adding functionality to major bioinformatics resources such GEO by integrating tools and resources without the need for a plugin architecture. Importantly GEO2Enrichr helps researchers to quickly explore hypotheses with little technical overhead lowering the barrier of entry for biologists by automating data processing steps needed for knowledge extraction from the major repository GEO. GEO2Enrichr is an open source tool freely available for installation as browser extensions at the Chrome Web Store and FireFox Addons. Documentation and a browser independent web application can be found at http//amp.pharm.mssm.edu/g2e/. avi.maayanmssm.edu.	Bioinformatics (Oxford, England)	1367-4811	GM098316	17.0	131.0	8.0		69.0	16.0	16.0	8.0	Icahn School of Medicine at Mount Sinai	USA
GF Response Browser 2	http://www.cancerbrowser.org/dataset/growth_factor_pakt_perk	Online tool for browsing growth factor-stimulated cell signaling profiles	True	HMS LINCS																		USA
GR Browser	http://www.grcalculator.org/grtutorial/Home.html	Online tool for calculating dose-response metrics and browsing response data	True	HMS LINCS	29065900	10.1186/s12885-017-3689-3	GRcalculator: an online tool for calculating and mining dose-response data	2017-10-24	Background: Quantifying the response of cell lines to drugs or other perturbagens is the cornerstone of pre-clinical drug development and pharmacogenomics as well as a means to study factors that contribute to sensitivity and resistance. In dividing cells, traditional metrics derived from dose-response curves such as IC 50 , AUC, and E max , are confounded by the number of cell divisions taking place during the assay, which varies widely for biological and experimental reasons. Hafner et al. (Nat Meth 13:521-627, 2016) recently proposed an alternative way to quantify drug response, normalized growth rate (GR) inhibition, that is robust to such confounders. Adoption of the GR method is expected to improve the reproducibility of dose-response assays and the reliability of pharmacogenomic associations (Hafner et al. 500-502, 2017). Results: We describe here an interactive website ( www.grcalculator.org ) for calculation, analysis, and visualization of dose-response data using the GR approach and for comparison of GR and traditional metrics. Data can be user-supplied or derived from published datasets. The web tools are implemented in the form of three integrated Shiny applications (grcalculator, grbrowser, and grtutorial) deployed through a Shiny server. Intuitive graphical user interfaces (GUIs) allow for interactive analysis and visualization of data. The Shiny applications make use of two R packages (shinyLi and GRmetrics) specifically developed for this purpose. The GRmetrics R package is also available via Bioconductor and can be used for offline data analysis and visualization. Source code for the Shiny applications and associated packages (shinyLi and GRmetrics) can be accessed at www.github.com/uc-bd2k/grcalculator and www.github.com/datarail/gr_metrics. Conclusions: GRcalculator is a powerful, user-friendly, and free tool to facilitate analysis of dose-response data. It generates publication-ready figures and provides a unified platform for investigators to analyze dose-response data across diverse cell types and perturbagens (including drugs, biological ligands, RNAi, etc.). GRcalculator also provides access to data collected by the NIH LINCS Program ( http://www.lincsproject.org /) and other public domain datasets. The GRmetrics Bioconductor package provides computationally trained users with a platform for offline analysis of dose-response data and facilitates inclusion of GR metrics calculations within existing R analysis pipelines. These tools are therefore well suited to users in academia as well as industry.	BMC Cancer	1471-2407		23	71	13	0	70 	11 	10	2		
GREIN: GEO RNA-seq Experiments Interactive Navigator	https://shiny.ilincs.org/grein	An Interactive Web Platform for Reanalyzing GEO RNAseq Data.	True	DCIC	31110304	10.1038/s41598-019-43935-8	GREIN An Interactive Web Platform for Reanalyzing GEO RNAseq Data.	2019-05-20	The vast amount of RNAseq data deposited in Gene Expression Omnibus GEO and Sequence Read Archive SRA is still a grossly underutilized resource for biomedical research. To remove technical roadblocks for reusing these data we have developed a webapplication GREIN GEO RNAseq Experiments Interactive Navigator which provides userfriendly interfaces to manipulate and analyze GEO RNAseq data. GREIN is powered by the backend computational pipeline for uniform processing of RNAseq data and the large number 6500 of already processed datasets. The frontend user interfaces provide a wealth of useranalytics options including subsetting and downloading processed data interactive visualization statistical power analyses construction of differential gene expression signatures and their comprehensive functional characterization and connectivity analysis with LINCS L1000 data. The combination of the massive amount of backend data and frontend analytics options driven by userfriendly interfaces makes GREIN a unique opensource resource for reusing GEO RNAseq data. GREIN is accessible at https//shiny.ilincs.org/grein  the source code at https//github.com/ucbd2k/grein  and the Docker container at https//hub.docker.com/r/ucbd2k/grein .	Scientific reports	2045-2322	HL127624	4.0	70.0	8.0		70.0		16.0	7.0	Uni of Cincinnati	USA
GUIdock	https://github.com/WebDataScience/GUIdock	Docker package containing a computational environment to run apps with a GUI	True	DCIC	27045593	10.1371/journal.pone.0152686	GUIdock: Using Docker Containers with a Common Graphics User Interface to Address the Reproducibility of Research	2016-04-05	Reproducibility is vital in science. For complex computational methods, it is often necessary, not just to recreate the code, but also the software and hardware environment to reproduce results. Virtual machines, and container software such as Docker, make it possible to reproduce the exact environment regardless of the underlying hardware and operating system. However, workflows that use Graphical User Interfaces (GUIs) remain difficult to replicate on different host systems as there is no high level graphical software layer common to all platforms. GUIdock allows for the facile distribution of a systems biology application along with its graphics environment. Complex graphics based workflows, ubiquitous in systems biology, can now be easily exported and reproduced on many different platforms. GUIdock uses Docker, an open source project that provides a container with only the absolutely necessary software dependencies and configures a common X Windows (X11) graphic interface on Linux, Macintosh and Windows platforms. As proof of concept, we present a Docker package that contains a Bioconductor application written in R and C++ called networkBMA for gene network inference. Our package also includes Cytoscape, a java-based platform with a graphical user interface for visualizing and analyzing gene networks, and the CyNetworkBMA app, a Cytoscape app that allows the use of networkBMA via the user-friendly Cytoscape interface.	PLoS One	1932-6203	HL127624	14.0	38.0		4.0	38.0		9.0			
Harmonizome	http://maayanlab.cloud/Harmonizome	Web portal with a collection of 114 datasets abstracted into gene function tables	True	DCIC	27374120	10.1093/database/baw100	The harmonizome a collection of processed datasets gathered to serve and mine knowledge about genes and proteins.	2016-07-03	Genomics epigenomics transcriptomics proteomics and metabolomics efforts rapidly generate a plethora of data on the activity and levels of biomolecules within mammalian cells. At the same time curation projects that organize knowledge from the biomedical literature into online databases are expanding. Hence there is a wealth of information about genes proteins and their associations with an urgent need for data integration to achieve better knowledge extraction and data reuse. For this purpose we developed the Harmonizome a collection of processed datasets gathered to serve and mine knowledge about genes and proteins from over 70 major online resources. We extracted abstracted and organized data into 72 million functional associations between genes/proteins and their attributes. Such attributes could be physical relationships with other biomolecules expression in cell lines and tissues genetic associations with knockout mouse or human phenotypes or changes in expression after drug treatment. We stored these associations in a relational database along with rich metadata for the genes/proteins their attributes and the original resources. The freely available Harmonizome web portal provides a graphical user interface a web service and a mobile app for querying browsing and downloading all of the collected data. To demonstrate the utility of the Harmonizome we computed and visualized genegene and attributeattribute similarity networks and through unsupervised clustering identified many unexpected relationships by combining pairs of datasets such as the association between kinase perturbations and disease signatures. We also applied supervised machine learning methods to predict novel substrates for kinases endogenous ligands for Gprotein coupled receptors mouse phenotypes for knockout genes and classified unannotated transmembrane proteins for likelihood of being ion channels. The Harmonizome is a comprehensive resource of knowledge about genes and proteins and as such it enables researchers to discover novel relationships between biological entities as well as form novel datadriven hypotheses for experimental validation.Database URL http//amp.pharm.mssm.edu/Harmonizome.	Database : the journal of biological databases and curation	1758-0463	GM098316	156.0	359.0	28.0		357.0	1.0	32.0	14.0	Icahn School of Medicine at Mount Sinai	USA
HMS LINCS Breast Cancer Browser	http://www.cancerbrowser.org/	Online tool for browsing multiple datasets relevant to breast cancer biology	True	HMS LINCS								HL127365										
HMS LINCS Database	https://lincs.hms.harvard.edu/db/	Online database for access to HMS LINCS Center datasets and reagent information	True	HMS LINCS																		
iLINCS	http://lincsportal.ccs.miami.edu/signatures	An integrative web platform for analysis of LINCS data and signatures	True	DCIC	31701147	10.1093/nar/gkz1023	LINCS Data Portal 2.0 next generation access point for perturbationresponse signatures.	2020-01-08	The Library of Integrated NetworkBased Cellular Signatures LINCS is an NIH Common Fund program with the goal of generating a largescale and comprehensive catalogue of perturbationresponse signatures by utilizing a diverse collection of perturbations across many model systems and assay types. The LINCS Data Portal LDP has been the primary access point for the compendium of LINCS data and has been widely utilized. Here we report the first major update of LDP http//lincsportal.ccs.miami.edu/signatures with substantial changes in the data architecture and APIs a completely redesigned user interface and enhanced curated metadata annotations to support more advanced intuitive and deeper querying exploration and analysis capabilities. The cornerstone of this update has been the decision to reprocess all highlevel LINCS datasets and make them accessible at the data point level enabling users to directly access and download any subset of signatures across the entire library independent from the originating source project or assay. Access to the individual signatures also enables the newly implemented signature search functionality which utilizes the iLINCS platform to identify conditions that mimic or reverse gene set queries. A newly designed query interface enables global metadata search with autosuggest across all annotations associated with perturbations model systems and signatures.	Nucleic acids research	1362-4962	LM012630	1.0	22.0	17.0		22.0		27.0	12.0	Uni of Miami	USA
