Tool_Name	tool_homepage_url	Tool_Description	Available	Center	PMID	Electronic_Location_Identifier	Article_Title	Article_Date	Abstract	Journal_Title	ISSN	CFDE_Grant	Citations	Readers_Count	Altmetric_Score	Facebook_Shares	Readers_in_Mendeley	Mentions_in_social_media	Twitter_accounts_that_tweeted_this_publication	Scientists_who_mentioned_the_publication_on_Twitter	Institution	Country
L1000CDS2	https://maayanlab.cloud/L1000CDS2/%23/index	An ultra-fast LINCS L1000 Characteristic Direction signature search engine	True	DCIC	28413689	10.1038/npjsba.2016.15	L1000CDS 2: LINCS L1000 characteristic direction signatures search engine	2016-08-04	The library of integrated network-based cellular signatures (LINCS) L1000 data set currently comprises of over a million gene expression profiles of chemically perturbed human cell lines. Through unique several intrinsic and extrinsic benchmarking schemes, we demonstrate that processing the L1000 data with the characteristic direction (CD) method significantly improves signal to noise compared with the MODZ method currently used to compute L1000 signatures. The CD processed L1000 signatures are served through a state-of-the-art web-based search engine application called L1000CDS2. The L1000CDS2 search engine provides prioritization of thousands of small-molecule signatures, and their pairwise combinations, predicted to either mimic or reverse an input gene expression signature using two methods. The L1000CDS2 search engine also predicts drug targets for all the small molecules profiled by the L1000 assay that we processed. Targets are predicted by computing the cosine similarity between the L1000 small-molecule signatures and a large collection of signatures extracted from the gene expression omnibus (GEO) for single-gene perturbations in mammalian cells. We applied L1000CDS2 to prioritize small molecules that are predicted to reverse expression in 670 disease signatures also extracted from GEO, and prioritized small molecules that can mimic expression of 22 endogenous ligand signatures profiled by the L1000 assay. As a case study, to further demonstrate the utility of L1000CDS2, we collected expression signatures from human cells infected with Ebola virus at 30, 60 and 120 min. Querying these signatures with L1000CDS2 we identified kenpaullone, a GSK3B/CDK2 inhibitor that we show, in subsequent experiments, has a dose-dependent efficacy in inhibiting Ebola infection in vitro without causing cellular toxicity in human cell lines. In summary, the L1000CDS2 tool can be applied in many biological and biomedical settings, while improving the extraction of knowledge from the LINCS L1000 resource.	npj Systems biology and applications	2056-7189		117.0	155.0	9.0		155.0		15.0			
L1000FWD	http://maayanlab.cloud/L1000FWD	Large-scale visualization of drug-induced transcriptomic signatures	True	DCIC	29420694	10.1093/bioinformatics/bty060	L1000FWD fireworks visualization of druginduced transcriptomic signatures.	2018-02-06	As part of the NIH Library of Integrated Networkbased Cellular Signatures program hundreds of thousands of transcriptomic signatures were generated with the L1000 technology profiling the response of human cell lines to over 20xa0000 small molecule compounds. This effort is a promising approach toward revealing the mechanismsofaction MOA for marketed drugs and other less studied potential therapeutic compounds. L1000 fireworks display L1000FWD is a web application that provides interactive visualization of over 16xa0000 drug and smallmolecule induced gene expression signatures. L1000FWD enables coloring of signatures by different attributes such as cell type time point concentration as well as drug attributes such as MOA and clinical phase. Signature similarity search is implemented to enable the search for mimicking or opposing signatures given as input of up and down gene sets. Each point on the L1000FWD interactive map is linked to a signature landing page which provides multifaceted knowledge from various sources about the signature and the drug. Notably such information includes most frequent diagnoses coprescribed drugs and age distribution of prescriptions as extracted from the Mount Sinai Health System electronic medical records. Overall L1000FWD serves as a platform for identifying functions for novel small molecules using unsupervised clustering as well as for exploring drug MOA. L1000FWD is freely accessible at http//amp.pharm.mssm.edu/L1000FWD. Supplementary data are available at Bioinformatics online.	Bioinformatics (Oxford, England)	1367-4811	CA224260	15.0	69.0	20.0		67.0		20.0	9.0	Icahn School of Medicine at Mount Sinai	USA
LINCS Canvas Browser	http://www.maayanlab.net/LINCS/LCB	LCB provides interactive clustering with enrichment of L1000 signatures	True	DCIC	24906883	10.1093/nar/gku476	LINCS Canvas Browser interactive web app to query browse and interrogate LINCS L1000 gene expression signatures.	2014-06-06	For the Library of Integrated Networkbased Cellular Signatures LINCS project many gene expression signatures using the L1000 technology have been produced. The L1000 technology is a costeffective method to profile gene expression in large scale. LINCS Canvas Browser LCB is an interactive HTML5 webbased software application that facilitates querying browsing and interrogating many of the currently available LINCS L1000 data. LCB implements two compacted layered canvases one to visualize clustered L1000 expression data and the other to display enrichment analysis results using 30 different gene set libraries. Clicking on an experimental condition highlights genesets enriched for the differentially expressed genes from the selected experiment. A search interface allows users to input gene lists and query them against over 100 000 conditions to find the top matching experiments. The tool integrates many resources for an unprecedented potential for new discoveries in systems biology and systems pharmacology. The LCB application is available at http//www.maayanlab.net/LINCS/LCB. Customized versions will be made part of the http//lincscloud.org and http//lincs.hms.harvard.edu websites.	Nucleic acids research	1362-4962	HG006093	87.0	193.0	9.0		191.0	3.0	2.0	1.0	Icahn School of Medicine at Mount Sinai	USA
LINCS Data Portal	http://lincsportal.ccs.miami.edu/	Provides unified interface for searching all LINCS dataset packages and entities	True	DCIC	29140462	10.1093/nar/gkx1063	Data Portal for the Library of Integrated Network-based Cellular Signatures  LINCS  program: integrated access to diverse large-scale cellular perturbation response data.	2018-01-04	The Library of Integrated Network-based Cellular Signatures  LINCS  program is a national consortium funded by the NIH to generate a diverse and extensive reference library of cell-based perturbation-response signatures  along with novel data analytics tools to improve our understanding of human diseases at the systems level. In contrast to other large-scale data generation efforts  LINCS Data and Signature Generation Centers  DSGCs  employ a wide range of assay technologies cataloging diverse cellular responses. Integration of  and unified access to LINCS data has therefore been particularly challenging. The Big Data to Knowledge  BD2K  LINCS Data Coordination and Integration Center  DCIC  has developed data standards specifications  data processing pipelines  and a suite of end-user software tools to integrate and annotate LINCS-generated data  to make LINCS signatures searchable and usable for different types of users. Here  we describe the LINCS Data Portal  LDP   http://lincsportal.ccs.miami.edu/   a unified web interface to access datasets generated by the LINCS DSGCs  and its underlying database  LINCS Data Registry  LDR . LINCS data served on the LDP contains extensive metadata and curated annotations. We highlight the features of the LDP user interface that is designed to enable search  browsing  exploration  download and analysis of LINCS data and related curated content.	Nucleic acids research	1362-4962	HL127624	32.0	86.0	7.0		86.0				Center for Computational Sci	USA
LINCS Joint Project - Breast Cancer Network Browser	https://maayanlab.cloud/LJP/	LINCS Joint Project-Breast Cancer Network Browser is an interactive viz of 2344 signatures	True	DCIC	29084964	10.1038/s41467-017-01383-w	Common and cell-type specific responses to anti-cancer drugs revealed by high throughput transcript profiling	2017-10-30	More effective use of targeted anti-cancer drugs depends on elucidating the connection between the molecular states induced by drug treatment and the cellular phenotypes controlled by these states, such as cytostasis and death. This is particularly true when mutation of a single gene is inadequate as a predictor of drug response. The current paper describes a data set of ~600 drug cell line pairs collected as part of the NIH LINCS Program (http://www.lincsproject.org/) in which molecular data (reduced dimensionality transcript L1000 profiles) were recorded across dose and time in parallel with phenotypic data on cellular cytostasis and cytotoxicity. We report that transcriptional and phenotypic responses correlate with each other in general, but whereas inhibitors of chaperones and cell cycle kinases induce similar transcriptional changes across cell lines, changes induced by drugs that inhibit intra-cellular signaling kinases are cell-type specific. In some drug/cell line pairs significant changes in transcription are observed without a change in cell growth or survival; analysis of such pairs identifies drug equivalence classes and, in one case, synergistic drug interactions. In this case, synergy involves cell-type specific suppression of an adaptive drug response.	Nature communications	2041-1723		28.0	136.0	88.0	1.0	136.0		31.0			
LINCS Mobile Project	https://lincsproject.org/LINCS/mobile	A mobile application to explore LINCS centers and resources	True	DCIC																		
MEP Mosaic	https://maayanlab.cloud/MEPmosaic	Mosaic visualization of high-content imaging assays of three cancer cell types	True	DCIC																		
modEnrichr	https://maayanlab.cloud/modEnrichr/	A suite of gene set enrichment analysis tools for model organisms	True	DCIC	31069376	10.1093/nar/gkz347	modEnrichr: a suite of gene set enrichment analysis tools for model organisms	2019-07-02	High-throughput experiments produce increasingly large datasets that are difficult to analyze and integrate. While most data integration approaches focus on aligning metadata, data integration can be achieved by abstracting experimental results into gene sets. Such gene sets can be made available for reuse through gene set enrichment analysis tools such as Enrichr. Enrichr currently only supports gene sets compiled from human and mouse, limiting accessibility for investigators that study other model organisms. modEnrichr is an expansion of Enrichr for four model organisms: fish, fly, worm and yeast. The gene set libraries within FishEnrichr, FlyEnrichr, WormEnrichr and YeastEnrichr are created from the Gene Ontology, mRNA expression profiles, GeneRIF, pathway databases, protein domain databases and other organism-specific resources. Additionally, libraries were created by predicting gene function from RNA-seq co-expression data processed uniformly from the gene expression omnibus for each organism. The modEnrichr suite of tools provides the ability to convert gene lists across species using an ortholog conversion tool that automatically detects the species. For complex analyses, modEnrichr provides API access that enables submitting batch queries. In summary, modEnrichr leverages existing model organism databases and other resources to facilitate comprehensive hypothesis generation through data integration.	Nucleic acids research	1362-4962		2.0	49.0	36.0		49.0		65.0			
Morpheus App	https://clue.io/morpheus	An interactive version of the ICV that lets you manipulate and annotate an existing dataset	True	LINCS Transcriptomics	29195078	10.1016/j.cell.2017.10.049	A Next Generation Connectivity Map: L1000 Platform and the First 1,000,000 Profiles	2017-11-30	We previously piloted the concept of a Connectivity Map (CMap), whereby genes, drugs, and disease states are connected by virtue of common gene-expression signatures. Here, we report more than a 1,000-fold scale-up of the CMap as part of the NIH LINCS Consortium, made possible by a new, low-cost, high-throughput reduced representation expression profiling method that we term L1000. We show that L1000 is highly reproducible, comparable to RNA sequencing, and suitable for computational inference of the expression levels of 81% of non-measured transcripts. We further show that the expanded CMap can be used to discover mechanism of action of small molecules, functionally annotate genetic variants of disease genes, and inform clinical trials. The 1.3 million L1000 profiles described here, as well as tools for their analysis, are available at https://clue.io.	Cell	1097-4172		497.0	1136.0			1136.0	4.0	80.0			
Network2Canvas	http://www.maayanlab.net/N2C	Network visualization on a canvas with enrichment analysis	True	DCIC	23749960	10.1093/bioinformatics/btt319	Network2Canvas network visualization on a canvas with enrichment analysis.	2013-06-07	Networks are vital to computational systems biology research but visualizing them is a challenge. For networks larger than 100 nodes and 200 links ballandstick diagrams fail to convey much information. To address this we developed Network2Canvas N2C a web application that provides an alternative way to view networks. N2C visualizes networks by placing nodes on a square toroidal canvas. The network nodes are clustered on the canvas using simulated annealing to maximize local connections where a nodes brightness is made proportional to its local fitness. The interactive canvas is implemented in HyperText Markup Language HTML5 with the JavaScript library DataDriven Documents D3. We applied N2C to visualize 30 canvases made from human and mouse geneset libraries and 6 canvases made from the Food and Drug Administration FDAapproved drugset libraries. Given lists of genes or drugs enriched terms are highlighted on the canvases and their degree of clustering is computed. Because N2C produces visual patterns of enriched terms on canvases a trained eye can detect signatures instantly. In summary N2C provides a new flexible method to visualize large networks and can be used to perform and visualize geneset and drugset enrichment analyses. N2C is freely available at http//www.maayanlab.net/N2C and is open source. avi.maayanmssm.edu Supplementary data are available at Bioinformatics online.	Bioinformatics (Oxford, England)	1367-4811	GM098316	22.0	111.0	5.0	1.0	105.0		9.0	6.0	Icahn School of Medicine at Mount Sinai	USA
OMERO	https://omero.lincsclarion.org/webclient/userdata/%3Fexperimenter%3D-1	Client-server software for image data visualization, management, and analysis	False	HMS LINCS																		
OmicsIntegrator	http://fraenkel.mit.edu/omicsintegrator	Discovers networks linking proteomic, transcriptomic, and epigenomic data	True	NeuroLINCS	27096930	10.1371/journal.pcbi.1004879	Network-Based Interpretation of Diverse High-Throughput Datasets through the Omics Integrator Software Package.	2016-04-20	High-throughput   omic  methods provide sensitive measures of biological responses to perturbations. However  inherent biases in high-throughput assays make it difficult to interpret experiments in which more than one type of data is collected. In this work  we introduce Omics Integrator  a software package that takes a variety of  omic  data as input and identifies putative underlying molecular pathways. The approach applies advanced network optimization algorithms to a network of thousands of molecular interactions to find high-confidence  interpretable subnetworks that best explain the data. These subnetworks connect changes observed in gene expression  protein abundance or other global assays to proteins that may not have been measured in the screens due to inherent bias or noise in measurement. This approach reveals unannotated molecular pathways that would not be detectable by searching pathway databases. Omics Integrator also provides an elegant framework to incorporate not only positive data  but also negative evidence. Incorporating negative evidence allows Omics Integrator to avoid unexpressed genes and avoid being biased toward highly-studied hub proteins  except when they are strongly implicated by the data. The software is comprised of two individual tools  Garnet and Forest  that can be run together or independently to allow a user to perform advanced integration of multiple types of high-throughput data as well as create condition-specific subnetworks of protein interactions that best connect the observed changes in various datasets. It is available at http://fraenkel.mit.edu/omicsintegrator and on GitHub at https://github.com/fraenkel-lab/OmicsIntegrator.	PLoS computational biology	1553-7358	NS091046	37.0	128.0	23.0	1.0					Department of Biological Engineering	USA
P100/GCP Mosaic	https://maayanlab.cloud/p100mosaic	Mosaic visualization of targeted phosphoproteomics and post-translation histone modifications after chemical perturbation of cancer cell lines	True	DCIC																		
PAEA (Principal Angle Enrichr Analysis)	https://maayanlab.cloud/PAEA/	Enrichment analysis tool implementing the principal angle method	True	DCIC	26848405	10.1109/BIBM.2015.7359689	Principal Angle Enrichment Analysis (PAEA): Dimensionally Reduced Multivariate Gene Set Enrichment Analysis Tool	2016-02-02	Gene set analysis of differential expression, which identifies collectively differentially expressed gene sets, has become an important tool for biology. The power of this approach lies in its reduction of the dimensionality of the statistical problem and its incorporation of biological interpretation by construction. Many approaches to gene set analysis have been proposed, but benchmarking their performance in the setting of real biological data is difficult due to the lack of a gold standard. In a previously published work we proposed a geometrical approach to differential expression which performed highly in benchmarking tests and compared well to the most popular methods of differential gene expression. As reported, this approach has a natural extension to gene set analysis which we call Principal Angle Enrichment Analysis (PAEA). PAEA employs dimensionality reduction and a multivariate approach for gene set enrichment analysis. However, the performance of this method has not been assessed nor its implementation as a web-based tool. Here we describe new benchmarking protocols for gene set analysis methods and find that PAEA performs highly. The PAEA method is implemented as a user-friendly web-based tool, which contains 70 gene set libraries and is freely available to the community.	Proceedings (IEEE Int Conf Bioinformatics Biomed)	2156-1125											
Panorama	https://panoramaweb.org	Proteomics repository that provides access to the PCCSE P100 and GCP data	True	LINCS PCCSE	25102069	10.1021/pr5006636	Panorama a targeted proteomics knowledge base.	2014-08-18	Panorama is a web application for storing sharing analyzing and reusing targeted assays created and refined with Skyline1 an increasingly popular Windows client software tool for targeted proteomics experiments. Panorama allows laboratories to store and organize curated results contained in Skyline documents with finegrained permissions which facilitates distributed collaboration and secure sharing of published and unpublished data via a webbrowser interface. It is fully integrated with the Skyline workflow and supports publishing a document directly to a Panorama server from the Skyline user interface. Panorama captures the complete Skyline document information content in a relational database schema. Curated results published to Panorama can be aggregated and exported as chromatogram libraries. These libraries can be used in Skyline to pick optimal targets in new experiments and to validate peak identification of target peptides. Panorama is opensource and freely available. It is distributed as part of LabKey Server2 an open source biomedical research data management system. Laboratories and organizations can set up Panorama locally by downloading and installing the software on their own servers. They can also request freely hosted projects on https//panoramaweb.org  a Panorama server maintained by the Department of Genome Sciences at the University of Washington.	Journal of proteome research	1535-3907	CA164186	74.0	109.0	6.0		108.0		5.0		Uni of Washington	USA
Phosphosite Plus	http://www.phosphosite.org/	Comprehensive resource for the study of protein post-translational modifications	True	DCIC	25514926	10.1093/nar/gku1267	PhosphoSitePlus  2014: mutations  PTMs and recalibrations.	2015-01-28	PhosphoSitePlus     PSP  http://www.phosphosite.org/   a knowledgebase dedicated to mammalian post-translational modifications  PTMs   contains over 330 000 non-redundant PTMs  including phospho  acetyl  ubiquityl and methyl groups. Over 95  of the sites are from mass spectrometry  MS  experiments. In order to improve data reliability  early MS data have been reanalyzed  applying a common standard of analysis across over 1 000 000 spectra. Site assignments with P   0.05 were filtered out. Two new downloads are available from PSP. The  Regulatory sites  dataset includes curated information about modification sites that regulate downstream cellular processes  molecular functions and protein-protein interactions. The  PTMVar  dataset  an intersect of missense mutations and PTMs from PSP  identifies over 25 000 PTMVars  PTMs Impacted by Variants  that can rewire signaling pathways. The PTMVar data include missense mutations from UniPROTKB  TCGA and other sources that cause over 2000 diseases or syndromes  MIM  and polymorphisms  or are associated with hundreds of cancers. PTMVars include 18 548 phosphorlyation sites  3412 ubiquitylation sites  2316 acetylation sites  685 methylation sites and 245 succinylation sites.	Nucleic acids research	1362-4962	HL127624	678.0	755.0	23.0						Cell Signaling Tech	USA
PiNET	http://pinet-server.org	Used to annotate, map and analyze a set of peptide moieties	True	DCIC	32469073	10.1093/nar/gkaa436	piNET a versatile web platform for downstream analysis and visualization of proteomics data.	2020-07-02	Rapid progress in proteomics and largescale profiling of biological systems at the protein level necessitates the continued development of efficient computational tools for the analysis and interpretation of proteomics data. Here we present the piNET server that facilitates integrated annotation analysis and visualization of quantitative proteomics data with emphasis on PTM networks and integration with the LINCS library of chemical and genetic perturbation signatures in order to provide further mechanistic and functional insights. The primary input for the server consists of a set of peptides or proteins optionally with PTM sites and their corresponding abundance values. Several interconnected workflows can be used to generate i interactive graphs and tables providing comprehensive annotation and mapping between peptides and proteins with PTM sites ii high resolution and interactive visualization for enzymesubstrate networks including kinases and their phosphopeptide targets iii mapping and visualization of LINCS signature connectivity for chemical inhibitors or genetic knockdown of enzymes upstream of their target PTM sites. piNET has been built using a modular SpringBoot JAVA platform as a fast versatile and easy to use tool. The Apache Lucene indexing is used for fast mapping of peptides into UniProt entries for the human mouse and other commonly used model organism proteomes. PTMcentric network analyses combine PhosphoSitePlus iPTMnet and SIGNOR databases of validated enzymesubstrate relationships for kinase networks augmented by DeepPhos predictions and sequencebased mapping of PhosphoSitePlus consensus motifs. Concordant LINCS signatures are mapped using iLINCS. For each workflow a RESTful API counterpart can be used to generate the results programmatically in the json format. The server is available at http//pinetserver.org and it is free and open to all users without login requirement.	Nucleic acids research	1362-4962	HL127624	0.0	0.0	23.0		0.0	1.0	30.0	13.0	Uni of Cincinnati College of Medicine	Thailand
PIUMet	http://fraenkel-nsf.csbi.mit.edu/piumet2/	Tool for discovering pathways of peaks from untargeted metabolomics data	True	NeuroLINCS	27479327	10.1038/nmeth.3940	Revealing disease-associated pathways by network integration of untargeted metabolomics	2016-08-01	Uncovering the molecular context of dysregulated metabolites is crucial to understand pathogenic pathways. However, their system-level analysis has been limited owing to challenges in global metabolite identification. Most metabolite features detected by untargeted metabolomics carried out by liquid-chromatography-mass spectrometry cannot be uniquely identified without additional, time-consuming experiments. We report a network-based approach, prize-collecting Steiner forest algorithm for integrative analysis of untargeted metabolomics (PIUMet), that infers molecular pathways and components via integrative analysis of metabolite features, without requiring their identification. We demonstrated PIUMet by analyzing changes in metabolism of sphingolipids, fatty acids and steroids in a Huntington's disease model. Additionally, PIUMet enabled us to elucidate putative identities of altered metabolite features in diseased cells, and infer experimentally undetected, disease-associated metabolites and dysregulated proteins. Finally, we established PIUMet's ability for integrative analysis of untargeted metabolomics data with proteomics data, demonstrating that this approach elicits disease-associated metabolites and proteins that cannot be inferred by individual analysis of these data.	Nature methods	1548-7105		85.0	319.0	42.0	4.0	319.0		66.0			
RTK Profile Browser	https://lincs.hms.harvard.edu/explore/responses/	Online tool for browsing breast cancer cell line RTK profiles	True	HMS LINCS	24065145	10.1126/scisignal.2004379	Profiles of Basal and stimulated receptor signaling networks predict drug response in breast cancer lines	2013-09-24	Identifying factors responsible for variation in drug response is essential for the effective use of targeted therapeutics. We profiled signaling pathway activity in a collection of breast cancer cell lines before and after stimulation with physiologically relevant ligands, which revealed the variability in network activity among cells of known genotype and molecular subtype. Despite the receptor-based classification of breast cancer subtypes, we found that the abundance and activity of signaling proteins in unstimulated cells (basal profile), as well as the activity of proteins in stimulated cells (signaling profile), varied within each subtype. Using a partial least-squares regression approach, we constructed models that significantly predicted sensitivity to 23 targeted therapeutics. For example, one model showed that the response to the growth factor receptor ligand heregulin effectively predicted the sensitivity of cells to drugs targeting the cell survival pathway mediated by PI3K (phosphoinositide 3-kinase) and Akt, whereas the abundance of Akt or the mutational status of the enzymes in the pathway did not. Thus, basal and signaling protein profiles may yield new biomarkers of drug sensitivity and enable the identification of appropriate therapies in cancers characterized by similar functional dysregulation of signaling networks.	Science signaling	1937-9145		75.0	187.0	8.0		187.0		12.0			
SEP-L1000	http://maayanlab.net/SEP-L1000/	Web portal for searching and browsing predictive small-molecule/ADR connections	True	DCIC	27153606	10.1093/bioinformatics/btw168	Drug-induced adverse events prediction with the LINCS L1000 data.	2016-08-01	Adverse drug reactions  ADRs  are a central consideration during drug development. Here we present a machine learning classifier to prioritize ADRs for approved drugs and pre-clinical small-molecule compounds by combining chemical structure  CS  and gene expression  GE  features. The GE data is from the Library of Integrated Network-based Cellular Signatures  LINCS  L1000 dataset that measured changes in GE before and after treatment of human cells with over 20 000 small-molecule compounds including most of the FDA-approved drugs. Using various benchmarking methods  we show that the integration of GE data with the CS of the drugs can significantly improve the predictability of ADRs. Moreover  transforming GE features to enrichment vectors of biological terms further improves the predictive capability of the classifiers. The most predictive biological-term features can assist in understanding the drug mechanisms of action. Finally  we applied the classifier to all  u2009 20 000 small-molecules profiled  and developed a web portal for browsing and searching predictive small-molecule/ADR connections.    The interface for the adverse event predictions for the  u2009 20 000 LINCS compounds is available at http://maayanlab.net/SEP-L1000/ CONTACT: avi.maayan mssm.edu    Supplementary data are available at Bioinformatics online.	Bioinformatics (Oxford, England)	1367-4811	GM098316	40.0	134.0	19.0						Department of Pharmacology and Systems Therapeutics	USA
SigCom LINCS	https://maayanlab.cloud/sigcom-lincs/	Provides unified interface for searching over one million signatures	True	DCIC																		USA
slinky	https://bioconductor.org/packages/devel/bioc/html/slinky.html	R package to query the L1000 metadata via the CLUE.io REST API	True	LINCS Transcriptomics	30629124	10.1093/bioinformatics/btz002	Streamlined analysis of LINCS L1000 data with the slinky package for R	2019-09-01	The L1000 dataset from the NIH LINCS program holds the promise to deconvolute a wide range of biological questions in transcriptional space. However, using this large and decentralized dataset presents its own challenges. The slinky package was created to streamline the process of identifying samples of interest and their corresponding control samples, and loading their associated expression data and metadata. The package can integrate with workflows leveraging the BioConductor collection of tools by encapsulating the L1000 data as a SummarizedExperiment object.	Bioinformatics (Oxford, England)	1367-4811		0.0	7.0	5.0		7.0		9.0			
Small Molecule Suite	https://labsyspharm.shinyapps.io/smallmoleculesuite/	Curated database with drug target data and drug similarity data.	True		30956147	10.1016/j.chembiol.2019.02.018	Cheminformatics Tools for Analyzing and Designing Optimized Small-Molecule Collections and Libraries	2019-05-16	Libraries of well-annotated small molecules have many uses in chemical genetics, drug discovery, and therapeutic repurposing. Multiple libraries are available, but few data-driven approaches exist to compare them and design new libraries. We describe an approach to scoring and creating libraries based on binding selectivity, target coverage, and induced cellular phenotypes as well as chemical structure, stage of clinical development, and user preference. The approach, available via the online tool http://www.smallmoleculesuite.org, assembles sets of compounds with the lowest possible off-target overlap. Analysis of six kinase inhibitor libraries using our approach reveals dramatic differences among them and led us to design a new LSP-OptimalKinase library that outperforms existing collections in target coverage and compact size. We also describe a mechanism of action library that optimally covers 1,852 targets in the liganded genome. Our tools facilitate creation, analysis, and updates of both private and public compound collections.	Cell chemical biology	2451-9448		20.0	73.0			73.0		67.0			
Synapse	https://www.synapse.org/#!Synapse:syn2862345/wiki/410135	Visualization of the MEMA data from the MEP LINCS Center	True	MEP LINCS																		
SynergySeq	https://schurerlab.shinyapps.io/synergyseq/	Identify synergistic drug combinations	True	DCIC	30552330	10.1038/s41467-018-07659-z	Drug and disease signature integration identifies synergistic combinations in glioblastoma	2018-12-14	Glioblastoma (GBM) is the most common primary adult brain tumor. Despite extensive efforts, the median survival for GBM patients is approximately 14 months. GBM therapy could benefit greatly from patient-specific targeted therapies that maximize treatment efficacy. Here we report a platform termed SynergySeq to identify drug combinations for the treatment of GBM by integrating information from The Cancer Genome Atlas (TCGA) and the Library of Integrated Network-Based Cellular Signatures (LINCS). We identify differentially expressed genes in GBM samples and devise a consensus gene expression signature for each compound using LINCS L1000 transcriptional profiling data. The SynergySeq platform computes disease discordance and drug concordance to identify combinations of FDA-approved drugs that induce a synergistic response in GBM. Collectively, our studies demonstrate that combining disease-specific gene expression signatures with LINCS small molecule perturbagen-response signatures can identify preclinical combinations for GBM, which can potentially be tested in humans.	Nature communications	2041-1723		22.0	95.0	11.0		95.0		22.0			
TieDIE	https://sysbiowiki.soe.ucsc.edu/tiedie	Software for computing regulatory subnetworks from mutation and transcript data	True	HMS LINCS	23986566	10.1093/bioinformatics/btt471	Discovering causal pathways linking genomic events to transcriptional states using Tied Diffusion Through Interacting Events TieDIE.	2013-08-27	Identifying the cellular wiring that connects genomic perturbations to transcriptional changes in cancer is essential to gain a mechanistic understanding of disease initiation progression and ultimately to predict drug response. We have developed a method called Tied Diffusion Through Interacting Events TieDIE that uses a network diffusion approach to connect genomic perturbations to gene expression changes characteristic of cancer subtypes. The method computes a subnetwork of proteinprotein interactions predicted transcription factortotarget connections and curated interactions from literature that connects genomic and transcriptomic perturbations. Application of TieDIE to The Cancer Genome Atlas and a breast cancer cell line dataset identified key signaling pathways with examples impinging on MYC activity. Interlinking genes are predicted to correspond to essential components of cancer signaling and may provide a mechanistic explanation of tumor character and suggest subtypespecific drug targets. Software is available from the Stuart labs wiki https//sysbiowiki.soe.ucsc.edu/tiedie. jstuartucsc.edu. Supplementary data are available at Bioinformatics online.	Bioinformatics (Oxford, England)	1367-4811	HG006097	59.0	224.0	2.0		215.0		2.0	2.0	Uni of CA	USA
Touchstone App	https://clue.io/touchstone	Collection of CMap reference signatures	True	LINCS Transcriptomics	29195078	10.1016/j.cell.2017.10.049	A Next Generation Connectivity Map: L1000 Platform and the First 1,000,000 Profiles	2017-11-30	We previously piloted the concept of a Connectivity Map (CMap), whereby genes, drugs, and disease states are connected by virtue of common gene-expression signatures. Here, we report more than a 1,000-fold scale-up of the CMap as part of the NIH LINCS Consortium, made possible by a new, low-cost, high-throughput reduced representation expression profiling method that we term L1000. We show that L1000 is highly reproducible, comparable to RNA sequencing, and suitable for computational inference of the expression levels of 81% of non-measured transcripts. We further show that the expanded CMap can be used to discover mechanism of action of small molecules, functionally annotate genetic variants of disease genes, and inform clinical trials. The 1.3 million L1000 profiles described here, as well as tools for their analysis, are available at https://clue.io.	Cell	1097-4172		497.0	1136.0			1136.0	4.0	80.0			
X2K (expression2kinases) Web	http://X2K.cloud	Linking expression signatures to upstream cell signaling networks	True	DCIC	29800326	10.1093/nar/gky458	eXpression2Kinases  X2K  Web: linking expression signatures to upstream cell signaling networks.	2018-05-25	While gene expression data at the mRNA level can be globally and accurately measured  profiling the activity of cell signaling pathways is currently much more difficult. eXpression2Kinases  X2K  computationally predicts involvement of upstream cell signaling pathways  given a signature of differentially expressed genes. X2K first computes enrichment for transcription factors likely to regulate the expression of the differentially expressed genes. The next step of X2K connects these enriched transcription factors through known protein-protein interactions  PPIs  to construct a subnetwork. The final step performs kinase enrichment analysis on the members of the subnetwork. X2K Web is a new implementation of the original eXpression2Kinases algorithm with important enhancements. X2K Web includes many new transcription factor and kinase libraries  and PPI networks. For demonstration  thousands of gene expression signatures induced by kinase inhibitors  applied to six breast cancer cell lines  are provided for fetching directly into X2K Web. The results are displayed as interactive downloadable vector graphic network images and bar graphs. Benchmarking various settings via random permutations enabled the identification of an optimal set of parameters to be used as the default settings in X2K Web. X2K Web is freely available from http://X2K.cloud.	Nucleic acids research	1362-4962	CA224260	10.0	53.0	7.0						DBD2K-LINCS Data Coordination and Integration Center; Knowledge Management Center for the Illuminating the Druggable Genome;Department of Pharmacological Scis	USA
